source,title,company,location,text_to_check,categories
linkedin,Développeur Java J2E,Babel,"Casablanca, Casablanca-Settat, Morocco",Développeur Java J2E,[]
linkedin,Software engineer,Orange Business,"Salé El Jadida, Rabat-Salé-Kénitra, Morocco",Software engineer,[]
linkedin,Developpeur Senior Full Stack,Babel,"Casablanca, Casablanca-Settat, Morocco",Developpeur Senior Full Stack,[]
linkedin,Software Engineer,Capgemini,"Casablanca, Casablanca-Settat, Morocco",Software Engineer,[]
linkedin,Directeur IT,Qui Cherche Quoi,"Casablanca, Casablanca-Settat, Morocco",Directeur IT,[]
linkedin,Consultant technique Microsoft Dynamics 365 F&O,Inetum,"Mechouar, Casablanca-Settat, Morocco",Consultant technique Microsoft Dynamics 365 F&O,[]
linkedin,Fullstack Engineer (Kotlin / Vue),A2MAC1 - Decode the future,"Casablanca, Casablanca-Settat, Morocco",Fullstack Engineer (Kotlin / Vue),[]
linkedin,Développeur full stack - One Admin,Orange Business,"Salé El Jadida, Rabat-Salé-Kénitra, Morocco",Développeur full stack - One Admin,[]
linkedin,Full Stack (BACKEND),Bravent,"Tangier, Tanger-Tetouan-Al Hoceima, Morocco",Full Stack (BACKEND),[]
linkedin,Tech Lead Python Django,Devoteam,"Rabat, Rabat-Salé-Kénitra, Morocco",Tech Lead Python Django,['Data']
linkedin,Senior Java Software & Cloud Engineer,iMedia24 GmbH,Morocco,Senior Java Software & Cloud Engineer,['Cloud']
linkedin,Développeur Full Stack Node JS/Vuj Js_ Hybride,SQLI,"Oujda, Oriental, Morocco",Développeur Full Stack Node JS/Vuj Js_ Hybride,[]
linkedin,Lead Software Engineer,Capgemini,"Casablanca, Casablanca-Settat, Morocco",Lead Software Engineer,[]
linkedin,Développeur Python Confirmé (F/H) - Rabat (Maroc),Cegedim,Rabat Metropolitan Area,Développeur Python Confirmé (F/H) - Rabat (Maroc),['Data']
linkedin,Développeur·se Junior IT & IA – Marrakech – Symfony / Odoo (H/F),Atlas Secret,"Marrakesh, Marrakesh-Safi, Morocco",Développeur·se Junior IT & IA – Marrakech – Symfony / Odoo (H/F),[]
linkedin,Développeur .net/Angular H/F,Viveris,"Mechouar, Casablanca-Settat, Morocco",Développeur .net/Angular H/F,[]
linkedin,Java Full Stack Engineer FS,Yassir,"Casablanca, Casablanca-Settat, Morocco",Java Full Stack Engineer FS,[]
linkedin,Lead Delivery AI Software Engineer,Boston Consulting Group (BCG),"Casablanca, Casablanca-Settat, Morocco",Lead Delivery AI Software Engineer,['AI']
linkedin,Développeur Python IA,ALTEN MAROC,"Fez, Fès-Meknès, Morocco",Développeur Python IA,['Data']
linkedin,Software engineer Developeur Confirmé - F/H,ChapsVision,"Casablanca, Casablanca-Settat, Morocco",Software engineer Developeur Confirmé - F/H,[]
linkedin,Senior Delivery AI Software Engineer,Boston Consulting Group (BCG),"Casablanca, Casablanca-Settat, Morocco",Senior Delivery AI Software Engineer,['AI']
linkedin,Boomi Technical Consultant - Remote,Müller's Solutions,"Casablanca, Casablanca-Settat, Morocco",Boomi Technical Consultant - Remote,[]
linkedin,Lead Développeur .Net,matys,"Casablanca, Casablanca-Settat, Morocco",Lead Développeur .Net,[]
linkedin,Senior Java / Kotlin Backend Developer,Mindera,"Casablanca, Casablanca-Settat, Morocco",Senior Java / Kotlin Backend Developer,[]
linkedin,Ingénieur Full Stack/Ingénieure Full Stack,DM Geosoftware,Casablanca Metropolitan Area,Ingénieur Full Stack/Ingénieure Full Stack,[]
linkedin,Tech Lead H/F,WE ARE BEEBAY,"Mechouar, Casablanca-Settat, Morocco",Tech Lead H/F,[]
linkedin,Lead développeur .Net/React - Cegid HR,matys,"Casablanca, Casablanca-Settat, Morocco",Lead développeur .Net/React - Cegid HR,[]
linkedin,Administrateur support IT,Groupe SII,"Mechouar, Casablanca-Settat, Morocco",Administrateur support IT,[]
linkedin,Expert Infrastructure IT (F/H),Deloitte,"Mechouar, Casablanca-Settat, Morocco",Expert Infrastructure IT (F/H),[]
